Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	ItemValue	ItemRate			
物品名称	是否黄金	大类	分类	细类	等级	五行	魔法等级	价值量	概率			
古旧箱子	0	6	1	902	1	0	0	6000000	4413			
神秘矿石	0	6	1	398	1	0	0	100000000	1			10000
1级玄晶矿石	0	6	1	147	1	0	0	10000	300			
2级玄晶矿石	0	6	1	147	2	0	0	50000	300			
3级玄晶矿石	0	6	1	147	3	0	0	225000	150			
4级玄晶矿石	0	6	1	147	4	0	0	900000	75			
5级玄晶矿石	0	6	1	147	5	0	0	3300000	75			
6级玄晶矿石	0	6	1	147	6	0	0	12600000	50			
7级玄晶矿石	0	6	1	147	7	0	0	36770000	30			
8级玄晶矿石	0	6	1	147	8	0	0	126040000	1			
猩红宝石	0	4	353	1	1	0	0	6000000	300			
蓝水晶	0	4	238	1	1	0	0	8000000	300			
绿水晶	0	4	240	1	1	0	0	8000000	300			
紫水晶	0	4	239	1	1	0	0	8000000	300			
般若心经	0	6	1	12	1	0	0	10000000	300
铁罗汉	0	6	1	23	0	1	0	8000000	300
洗髓经	0	6	1	22	1	0	0	60000000	30
武林秘籍	0	6	1	26	1	0	0	80000000	30
玄铁原矿	0	6	1	149	1	0	0	100000	150
金属性孔雀原石	0	6	1	150	1	0	0	100000	150
木属性孔雀原石	0	6	1	150	1	1	0	100000	150
水属性孔雀原石	0	6	1	150	1	2	0	100000	150
火属性孔雀原石	0	6	1	150	1	3	0	100000	150
土属性孔雀原石	0	6	1	150	1	4	0	100000	150
秘银原矿	0	6	1	151	1	0	0	100000	150
金属性芙蓉原石	0	6	1	152	1	0	0	100000	150
木属性芙蓉原石	0	6	1	152	1	1	0	100000	150
水属性芙蓉原石	0	6	1	152	1	2	0	100000	150
火属性芙蓉原石	0	6	1	152	1	3	0	100000	150
土属性芙蓉原石	0	6	1	152	1	4	0	100000	150
朱砂原矿	0	6	1	153	1	0	0	100000	150
金属性钟乳原石	0	6	1	154	1	0	0	100000	150
木属性钟乳原石	0	6	1	154	1	1	0	100000	150
水属性钟乳原石	0	6	1	154	1	2	0	100000	150
火属性钟乳原石	0	6	1	154	1	3	0	100000	150
土属性钟乳原石	0	6	1	154	1	4	0	100000	150
定国之青纱长衫	1	159	1	1	1	0	0	45000000	5
定国之钨砂发冠	1	160	1	1	1	0	0	120000000	5
定国之赤绢软靴	1	161	1	1	1	0	0	12000000	5
定国之紫藤护腕	1	162	1	1	1	0	0	12000000	5
定国之银蚕腰带	1	163	1	1	1	0	0	12000000	5
安邦之冰晶石项链	1	164	1	1	1	0	0	200000000	5
安邦之菊花石指环	1	165	1	1	1	0	0	150000000	5
安邦之田黄石玉佩	1	166	1	1	1	0	0	120000000	5
安邦之鸡血石戒指	1	167	1	1	1	0	0	150000000	5
